,Loan_Status,Applicant_Income,Loan_Amount,Loan_Tenure,Gender,Dependents,Marriage_Status,Occupation,Credit_Score,DOB
429,Yes,336189.0,71231,5,Male,No,No,Business,Medium,1973
430,No,422511.0,77065,10,Female,No,No,Business,Low,1990
431,No,294115.0,31958,10,Male,Yes,Yes,Job,High,1990
432,No,559588.0,113100,15,Female,Yes,No,Business,Medium,1986
433,Yes,707631.0,120309,15,,No,No,Business,High,1984
434,No,825353.0,86801,15,Female,Yes,Yes,Job,Low,1998
435,Yes,611114.0,149992,20,Female,No,No,Business,High,1971
436,Yes,,204628,15,Female,Yes,Yes,Job,Medium,1995
437,No,392984.0,69532,5,Male,No,Yes,Business,High,1987
438,No,344492.0,39289,10,Male,Yes,No,Business,Medium,1994
439,No,591667.0,126139,10,Male,No,Yes,Business,Low,1999
440,No,657609.0,114285,10,,No,Yes,Job,Medium,1989
441,No,,86507,15,,Yes,Yes,Job,Medium,1981
442,Yes,289883.0,50356,20,Male,No,No,Business,Medium,1988
443,No,586631.0,104635,10,Female,No,No,Business,Medium,1979
444,No,404329.0,74560,15,Female,No,No,Job,Low,1972
445,Yes,700450.0,116403,15,Female,No,Yes,Business,High,1984
446,Yes,654989.0,125013,10,Male,Yes,Yes,Job,Medium,1996
447,No,459018.0,109159,5,Female,No,No,Business,High,1970
448,No,522919.0,80707,10,Male,Yes,No,Job,High,1996
449,Yes,441117.0,92130,5,Male,Yes,Yes,Business,Medium,1979
450,Yes,590598.0,138299,20,Male,Yes,No,Job,Medium,1988
451,Yes,,125164,5,Male,Yes,No,Job,Medium,1996
452,No,,75289,10,,No,No,Job,Medium,1985
453,Yes,675606.0,128579,15,,No,No,Business,High,1995
454,No,520461.0,98216,25,Male,Yes,No,Job,High,1994
455,Yes,481069.0,106310,5,Male,No,Yes,Job,Medium,1975
456,Yes,583945.0,100130,5,,Yes,No,Business,Low,1973
457,Yes,444713.0,110919,5,Female,No,No,Business,High,1975
458,Yes,516952.0,56306,5,Female,No,Yes,Job,Medium,1992
459,Yes,420318.0,42231,10,Female,No,Yes,Business,Medium,1981
460,No,894708.0,175389,15,,Yes,Yes,Job,Medium,1982
461,Yes,605289.0,87624,10,,Yes,Yes,Job,Low,1999
462,No,495041.0,67353,5,Male,No,No,Job,Low,1974
463,Yes,632096.0,92782,20,Female,Yes,No,Job,Medium,1999
464,Yes,583150.0,80712,10,Female,Yes,No,Job,High,1990
465,No,566854.0,59303,10,Female,No,No,Business,Low,1983
466,No,3460625.0,2551137,10,,Yes,Yes,Job,Medium,1996
467,No,713626.0,94992,25,,No,Yes,Business,High,1999
468,Yes,520424.0,109343,5,Female,No,No,Job,Medium,1987
469,No,,110116,20,,No,No,Job,Low,1981
470,No,558742.0,133756,15,Female,Yes,No,Business,Low,1992
471,Yes,764133.0,159828,5,Female,No,No,Job,High,1976
472,No,372721.0,86026,25,,No,Yes,Business,Medium,1981
473,No,,144168,10,Female,Yes,No,Job,Low,1997
474,Yes,846745.0,165015,5,Female,Yes,Yes,Job,High,1997
475,Yes,,110655,20,Male,Yes,Yes,Job,Medium,1975
476,No,686483.0,153064,15,,Yes,Yes,Business,Medium,1977
477,No,646687.0,97010,15,Male,No,Yes,Job,Medium,1998
478,Yes,5309160.0,2229396,5,Male,Yes,No,Job,High,1975
479,Yes,767936.0,137680,10,Male,Yes,No,Business,Medium,1974
480,No,580812.0,127203,15,Male,Yes,No,Job,Low,1971
481,No,456668.0,113519,10,Female,Yes,No,Business,Medium,1996
482,Yes,,46709,10,Female,No,Yes,Job,Medium,1990
483,Yes,630519.0,157123,5,Male,Yes,Yes,Job,Medium,1977
484,No,486547.0,55209,5,Female,No,Yes,Job,High,1978
485,No,386661.0,38800,20,Male,Yes,No,Job,Medium,1975
486,Yes,503014.0,53633,10,,No,Yes,Job,Medium,1980
487,No,437767.0,66219,25,,No,Yes,Job,Low,1995
488,No,853071.0,166294,10,Female,Yes,Yes,Business,High,1998
489,No,,80806,15,Female,No,Yes,Business,Medium,1976
490,No,598804.0,60389,10,Female,Yes,No,Job,Medium,1999
491,No,2465973.0,1779669,10,Female,No,Yes,Job,Low,1986
492,Yes,611605.0,136564,5,Male,No,Yes,Job,High,1988
493,No,470807.0,104226,10,Male,No,No,Business,High,1986
494,Yes,828468.0,192754,15,Female,Yes,No,Business,High,1973
495,No,680836.0,139574,25,Male,No,No,Business,Low,1982
496,Yes,444413.0,51401,15,,Yes,Yes,Job,High,1999
497,No,571449.0,91354,5,,No,Yes,Job,High,1984
498,Yes,468657.0,97702,5,Female,No,Yes,Business,High,1990
499,No,392580.0,55766,5,,No,Yes,Business,Medium,1998
500,Yes,,150083,15,Female,No,No,Job,High,1981
501,No,886412.0,91898,15,Male,No,Yes,Business,Medium,1975
502,No,,56940,20,Female,No,Yes,Job,High,2000
503,No,684445.0,124821,5,,Yes,No,Business,Medium,1987
504,Yes,502403.0,97874,15,Female,Yes,No,Job,Medium,1973
505,Yes,2634655.0,983020,10,Female,Yes,No,Job,Medium,2000
506,No,511140.0,104611,15,Female,No,Yes,Job,Low,1979
507,No,470401.0,47469,15,Male,Yes,Yes,Business,Low,1993
508,No,,69922,15,Male,No,Yes,Business,Medium,1973
509,No,475357.0,109494,15,Male,Yes,Yes,Job,Medium,1980
510,No,640568.0,129562,5,Female,Yes,Yes,Job,Medium,1974
511,No,592464.0,69282,15,,No,No,Business,Low,1987
512,No,564157.0,127675,5,Female,No,No,Business,Medium,1983
513,No,,63240,15,Male,Yes,Yes,Job,Medium,1971
514,No,513484.0,88185,10,Male,Yes,Yes,Job,Medium,1989
515,No,,86866,15,Male,Yes,Yes,Business,Low,1978
516,Yes,,139426,20,Male,Yes,Yes,Business,High,1979
517,Yes,453366.0,90685,20,Female,No,Yes,Job,High,1985
518,Yes,614899.0,80961,20,Male,Yes,No,Job,Medium,1982
519,Yes,712708.0,163573,15,Male,No,No,Job,High,1983
520,No,349589.0,56002,15,Female,No,No,Job,Medium,1990
521,No,681504.0,98052,15,Female,Yes,Yes,Business,High,1990
522,Yes,500606.0,61499,20,Male,No,Yes,Business,Medium,1976
523,No,685589.0,95931,10,Male,Yes,No,Business,Low,1972
524,No,485511.0,50155,25,Female,No,No,Job,Medium,1981
525,No,329267.0,61733,20,,No,Yes,Job,Medium,2000
526,Yes,355868.0,80545,15,Female,Yes,No,Business,High,1971
527,No,607212.0,110723,10,Male,No,No,Job,High,1979
528,No,638958.0,84911,5,Male,No,Yes,Business,Low,1976
529,Yes,464352.0,48780,20,Male,Yes,No,Job,Medium,1973
530,Yes,695788.0,91979,5,Female,No,No,Job,Medium,1994
531,No,350771.0,56971,20,Female,No,No,Business,Low,1986
532,No,590088.0,126244,10,Female,Yes,Yes,Business,Low,1975
533,No,418347.0,53622,10,Male,Yes,No,Job,Low,1990
534,No,502224.0,104446,20,Female,No,No,Job,Medium,1979
535,Yes,607109.0,139659,15,Male,No,No,Job,High,1979
536,Yes,470937.0,79160,15,Female,No,Yes,Job,Medium,1989
537,Yes,542316.0,121052,15,Male,Yes,Yes,Job,Medium,1978
538,No,750943.0,137571,10,Male,No,No,Business,High,1990
539,No,513466.0,100415,15,Female,No,Yes,Business,Medium,1989
540,Yes,,129795,10,Male,No,No,Job,High,1988
541,Yes,2152715.0,729666,20,Female,No,Yes,Business,Medium,1981
542,No,679470.0,91862,20,Male,No,Yes,Job,Medium,1974
543,No,816235.0,118745,10,Female,No,No,Business,Medium,1999
544,Yes,229253.0,32896,15,Female,Yes,No,Business,Medium,1991
545,No,480465.0,88642,15,Male,Yes,No,Business,Low,1987
546,No,686560.0,81009,10,Female,No,Yes,Job,Medium,1981
547,Yes,,1082216,25,,No,No,Business,Medium,1971
548,No,655671.0,136444,5,,Yes,Yes,Job,Low,1981
549,Yes,509402.0,81614,10,Female,Yes,Yes,Job,Medium,1996
550,No,612988.0,75884,15,,Yes,No,Job,Low,1993
551,No,,133954,15,,No,Yes,Job,High,1977
552,No,775167.0,173301,15,Male,No,No,Business,Medium,1981
553,Yes,,132902,15,,No,Yes,Job,High,1973
554,Yes,650640.0,91565,15,,No,No,Business,High,1972
555,No,,86312,15,Male,Yes,Yes,Job,Low,1981
556,No,526859.0,60805,5,Male,Yes,Yes,Business,High,1998
557,Yes,535116.0,68685,10,Male,Yes,No,Job,Medium,1980
558,Yes,659167.0,143337,10,,Yes,Yes,Job,Medium,1988
559,No,,111265,10,Male,No,No,Job,Medium,1979
560,No,643466.0,121629,15,Male,No,Yes,Job,Medium,2000
561,Yes,,213573,5,Female,Yes,Yes,Job,Medium,1970
562,Yes,730668.0,136992,10,Male,Yes,Yes,Business,High,1971
563,No,551096.0,93711,10,Female,Yes,No,Job,Medium,1985
564,No,780182.0,117850,20,Male,Yes,No,Business,Medium,1997
565,No,538788.0,129884,20,,Yes,No,Job,Medium,1986
566,Yes,,33079,15,Female,No,No,Job,Medium,1971
567,No,1346361.0,967896,20,Female,No,No,Job,Low,1997
568,Yes,958143.0,643890,15,Male,Yes,Yes,Job,Medium,1978
569,No,547272.0,65393,15,,Yes,Yes,Job,Medium,1998
570,Yes,602762.0,111358,5,Male,Yes,No,Job,High,2000
571,Yes,3405860.0,1566574,15,Male,No,Yes,Business,Medium,1996
572,No,,120572,15,,No,Yes,Job,Medium,1974
573,Yes,567134.0,133888,15,Male,No,Yes,Job,High,1980
574,Yes,724410.0,174907,15,,Yes,Yes,Job,Medium,1976
575,Yes,268329.0,43833,15,Female,No,No,Job,Medium,1994
576,No,635342.0,99492,15,Male,Yes,Yes,Business,Medium,1994
577,No,715629.0,172071,20,Male,No,No,Business,High,1980
578,Yes,378212.0,76123,10,Male,No,No,Job,Medium,1981
579,Yes,771563.0,90584,15,Female,No,Yes,Business,High,1988
580,No,650774.0,69205,10,Male,Yes,No,Business,Low,1985
581,Yes,537706.0,99311,15,Female,Yes,Yes,Job,High,1997
582,Yes,694917.0,166450,15,Male,No,Yes,Job,Medium,1991
583,No,940603.0,213175,5,Female,Yes,Yes,Job,Medium,1971
584,No,627279.0,126319,15,,Yes,No,Business,Low,1993
585,Yes,637233.0,77020,10,Male,Yes,No,Job,High,1993
586,Yes,,660261,15,Female,Yes,No,Business,Medium,1993
587,No,472523.0,109307,10,Male,Yes,Yes,Job,Medium,1991
588,Yes,724550.0,92322,15,Male,Yes,Yes,Business,Medium,1994
589,No,471587.0,66854,5,Male,Yes,Yes,Job,Medium,1987
590,Yes,610734.0,72946,15,Male,No,No,Job,Medium,1985
591,Yes,528351.0,106418,10,Male,Yes,Yes,Job,Low,1999
592,Yes,,162316,20,Male,Yes,Yes,Job,High,1993
593,Yes,650049.0,91231,20,Male,No,No,Job,High,1979
594,No,755630.0,129447,25,Female,No,No,Business,Low,1972
595,Yes,523497.0,102160,15,Female,No,No,Job,High,1971
596,Yes,559518.0,139834,15,Male,No,Yes,Business,Low,1984
597,Yes,453185.0,52443,10,Male,Yes,Yes,Job,Medium,1988
598,Yes,,93222,10,Male,No,Yes,Job,Medium,1980
599,Yes,2626380.0,828716,10,Female,No,No,Business,High,1978
600,No,713548.0,164025,15,Female,Yes,No,Job,High,1996
601,No,461675.0,79128,20,,Yes,No,Business,Medium,1977
602,No,730440.0,85203,5,Female,Yes,No,Business,Low,1976
603,No,803345.0,156783,20,Male,No,Yes,Job,Low,1994
604,Yes,662015.0,142741,15,,Yes,Yes,Job,High,1986
605,No,881519.0,88532,15,Male,No,Yes,Job,High,1997
606,Yes,483931.0,110744,5,Male,Yes,Yes,Business,High,1986
607,Yes,413301.0,52862,5,Female,Yes,Yes,Business,Low,1975
608,Yes,333191.0,60910,15,Female,No,Yes,Job,High,1987
609,Yes,824406.0,133858,15,,Yes,Yes,Business,High,1974
610,Yes,698154.0,145179,10,Female,Yes,Yes,Business,High,1994
611,No,591662.0,92106,15,,Yes,No,Job,Medium,1979
612,No,3209975.0,2219355,20,Male,Yes,No,Job,Low,1972
613,No,,90363,20,Female,Yes,Yes,Job,Medium,1976
614,Yes,,190623,20,Male,No,No,Business,High,1983
615,Yes,,135914,10,,No,Yes,Business,Medium,1998
616,No,616409.0,131358,10,Male,Yes,Yes,Business,Medium,1979
617,No,708864.0,74707,15,Male,No,No,Job,High,1992
618,Yes,,107013,10,Female,No,Yes,Business,High,1996
619,No,633582.0,151819,5,Male,No,Yes,Job,Medium,1988
620,No,481428.0,57221,10,Female,Yes,Yes,Job,High,1999
621,Yes,,141229,10,Male,Yes,Yes,Job,High,1982
622,Yes,882303.0,217213,10,,Yes,Yes,Job,Medium,1985
623,No,801813.0,86459,10,Female,No,Yes,Business,Medium,1986
624,No,838977.0,169749,10,Male,No,Yes,Business,Medium,1978
625,Yes,523317.0,89080,5,Female,Yes,No,Job,Medium,1982
626,No,1354677.0,506314,15,Female,Yes,No,Business,Medium,1994
627,Yes,581131.0,65552,15,Male,No,Yes,Job,Medium,1987
628,No,608358.0,64760,15,Male,No,No,Job,High,1978
629,Yes,764128.0,152848,5,Male,Yes,Yes,Job,Low,1979
630,No,346130.0,77358,10,,No,Yes,Business,High,2000
631,Yes,829432.0,180237,15,Male,No,Yes,Job,Medium,1987
632,Yes,576298.0,104638,15,Male,No,Yes,Business,Medium,1979
633,Yes,535967.0,61625,15,Female,No,No,Job,Medium,1975
634,No,448184.0,91073,10,Female,No,No,Job,Low,1998
635,No,351771.0,47940,20,Male,No,No,Job,Medium,1980
636,No,723475.0,171217,10,Female,No,No,Job,Low,1993
637,Yes,610997.0,137926,10,Female,Yes,Yes,Job,Low,1975
638,No,406505.0,83905,15,Male,Yes,No,Job,Low,1986
639,No,405738.0,98321,15,Male,No,Yes,Job,Low,1978
640,Yes,549632.0,57553,10,Female,No,Yes,Business,Low,1993
641,No,850353.0,178939,10,Male,No,No,Job,Medium,1996
642,No,561061.0,83899,15,Female,Yes,Yes,Job,Medium,2000
643,Yes,374528.0,88354,10,,Yes,No,Business,High,1982
644,No,563138.0,78840,5,Female,No,No,Business,Medium,1991
645,No,559091.0,116698,10,Female,Yes,No,Business,Low,1983
646,No,195467.0,45279,20,Female,No,No,Business,Medium,1997
647,No,591855.0,62883,5,Female,No,No,Job,Low,1997
648,No,565359.0,90257,25,Male,No,Yes,Job,Low,1984
649,Yes,704430.0,150992,15,Male,No,No,Job,High,1982
650,Yes,877343.0,147602,25,Female,No,No,Job,High,2000
651,No,768984.0,107725,20,,No,Yes,Job,Medium,1974
652,Yes,559666.0,74419,10,Male,No,No,Business,High,1979
653,Yes,434021.0,51964,5,Male,Yes,No,Job,Medium,1992
654,No,986003.0,225370,5,Female,No,Yes,Job,Low,2000
655,Yes,1826646.0,1020930,10,Female,Yes,Yes,Job,Medium,1995
656,Yes,602089.0,67107,15,,No,No,Business,Medium,1979
657,Yes,596381.0,93862,10,Female,No,Yes,Job,High,1995
658,Yes,629712.0,97706,10,Female,Yes,No,Business,Medium,1977
659,No,578345.0,73600,10,,Yes,Yes,Job,Medium,1986
660,Yes,513950.0,84969,20,Female,No,No,Business,Medium,1981
661,Yes,517971.0,77599,5,Male,Yes,No,Job,High,1988
662,No,595087.0,90019,5,Male,No,No,Business,Medium,1996
663,Yes,,109324,5,Male,No,Yes,Business,High,1982
664,No,493073.0,65820,20,,Yes,No,Job,Low,1977
665,Yes,615964.0,120900,15,Male,Yes,Yes,Business,High,1976
666,Yes,,104259,10,Male,Yes,No,Job,High,1973
667,Yes,825598.0,152912,5,Male,Yes,No,Job,High,1982
668,Yes,202354.0,40359,10,Male,No,No,Job,Medium,1985
669,No,763726.0,139194,5,Female,Yes,No,Business,Medium,1990
670,Yes,2360736.0,1094852,20,Female,Yes,No,Job,Medium,1980
671,Yes,288991.0,58184,15,Male,Yes,Yes,Job,Medium,1975
672,Yes,548596.0,99868,10,Male,Yes,Yes,Job,Medium,1972
673,Yes,,122172,20,Female,Yes,Yes,Business,Medium,1979
674,Yes,388873.0,74244,10,Female,No,No,Job,Medium,1988
675,Yes,,69440,15,Female,No,No,Job,High,1994
676,No,433413.0,56804,20,Male,Yes,Yes,Business,Medium,1974
677,No,862840.0,105999,10,Female,Yes,No,Business,Medium,1998
678,No,740351.0,173921,15,Male,No,No,Job,Low,1983
679,No,790733.0,163302,10,Male,Yes,No,Job,Medium,1974
680,No,708250.0,170409,10,Female,No,Yes,Job,High,1985
681,Yes,430642.0,82034,5,Male,No,Yes,Job,High,1983
682,No,521321.0,89151,10,Female,Yes,Yes,Business,Low,1975
683,No,673406.0,73372,15,Male,No,Yes,Business,High,1976
684,Yes,416680.0,83646,20,,Yes,Yes,Job,High,1981
685,No,706949.0,132433,15,,Yes,No,Job,High,1991
686,Yes,563951.0,140159,20,Male,No,No,Job,Medium,1982
687,Yes,543776.0,73884,20,Female,No,No,Job,High,1970
688,No,706643.0,126920,5,Female,Yes,No,Business,Medium,1970
689,Yes,666639.0,131756,10,,No,Yes,Job,Medium,1994
690,No,545855.0,107363,5,,Yes,Yes,Job,Low,1998
691,Yes,773899.0,142547,15,Male,No,No,Business,High,1978
692,No,,94809,20,Female,No,Yes,Job,Medium,1994
693,No,692390.0,90528,5,Female,Yes,No,Business,Medium,1991
694,No,688965.0,143886,15,Male,Yes,No,Business,Medium,1987
695,No,,106816,15,Female,Yes,No,Job,Medium,1970
696,No,648919.0,152113,15,Female,No,No,Job,Low,2000
697,Yes,412332.0,93632,10,Male,Yes,Yes,Job,High,1997
698,No,738604.0,108775,10,,Yes,No,Business,Low,1977
699,No,572264.0,80938,5,Female,No,Yes,Business,Medium,1990
700,Yes,521591.0,128962,10,Female,No,No,Business,High,1980
701,Yes,757351.0,135633,5,Female,Yes,No,Business,Low,1983
702,No,,116647,15,Female,Yes,No,Business,Medium,1978
703,No,388730.0,48428,5,,Yes,No,Job,High,1997
704,Yes,,431938,20,,Yes,Yes,Job,High,1975
705,Yes,690901.0,153020,15,Female,No,No,Job,High,1980
706,No,407935.0,98764,15,Male,No,Yes,Job,Medium,1983
707,No,863219.0,130001,10,,Yes,No,Job,High,1970
708,Yes,287710.0,60058,15,Male,Yes,No,Business,High,1988
709,No,4272340.0,2317596,20,Male,Yes,No,Business,High,1986
710,No,631652.0,68909,5,,No,Yes,Job,Medium,1984
711,No,585493.0,119147,10,Female,Yes,No,Job,Low,1970
712,No,518262.0,105473,15,Female,Yes,No,Job,Medium,1987
713,Yes,659870.0,158098,5,Male,No,No,Job,High,1987
714,No,594354.0,103772,5,Female,No,No,Job,Low,1970
715,Yes,765495.0,102987,10,Female,Yes,No,Job,Medium,1972
716,No,617134.0,65838,5,,Yes,Yes,Job,Low,1990
717,No,,101067,15,Male,No,Yes,Business,Medium,1970
718,No,545458.0,79248,10,Male,Yes,No,Job,Medium,1982
719,Yes,591458.0,126668,20,Female,Yes,No,Job,Medium,1989
720,Yes,646170.0,98954,15,,No,Yes,Business,High,1976
721,Yes,343474.0,83244,15,,No,No,Job,Medium,1998
722,No,397772.0,97194,15,,No,Yes,Job,Low,1986
723,No,711489.0,137414,20,,Yes,No,Job,Low,1973
724,Yes,625629.0,149712,10,Male,No,No,Job,Low,1982
725,No,572402.0,122567,20,Female,No,Yes,Business,Medium,1982
726,Yes,602765.0,109720,15,Male,Yes,No,Job,High,1974
727,Yes,652137.0,82851,15,Male,Yes,Yes,Job,High,1974
728,No,519036.0,87607,15,Male,No,Yes,Job,Medium,1972
729,Yes,483254.0,88982,10,,No,Yes,Business,Medium,1990
730,Yes,629376.0,144501,10,Male,Yes,No,Business,High,1974
731,Yes,,78048,15,Male,Yes,Yes,Job,High,1976
732,Yes,661237.0,155160,5,Male,No,Yes,Business,Medium,1995
733,No,,69319,15,Male,No,No,Business,Medium,1974
734,No,,90939,10,Female,Yes,No,Job,Low,1972
735,No,,1672172,5,Female,No,No,Job,Medium,1999
736,Yes,638404.0,114328,5,Female,Yes,No,Job,Medium,1989
737,Yes,747403.0,118671,5,Female,No,No,Business,Medium,1974
738,No,849821.0,169001,15,Male,Yes,No,Job,Low,1974
739,No,752155.0,87501,10,Female,Yes,Yes,Job,Medium,1989
740,No,323868.0,63309,25,,No,No,Business,Low,1998
741,No,408063.0,71303,15,Male,No,Yes,Business,Low,1999
742,No,506277.0,81511,5,,Yes,No,Job,Low,1971
743,Yes,603913.0,146722,15,Male,No,Yes,Job,Medium,1994
744,No,677648.0,120879,20,Male,No,Yes,Job,High,1971
745,No,,65256,15,Male,No,No,Business,High,1992
746,Yes,628015.0,106036,5,Female,Yes,No,Business,High,1990
747,Yes,486692.0,115787,20,Male,No,Yes,Job,High,1993
748,Yes,508272.0,64252,15,Female,No,No,Business,High,1970
749,Yes,389000.0,51384,5,Female,Yes,No,Job,Medium,1982
750,No,461515.0,47053,5,Male,No,Yes,Job,Medium,1988
751,No,397247.0,40570,15,Female,No,Yes,Business,Medium,1976
752,Yes,453619.0,101796,5,Female,Yes,Yes,Job,High,1974
753,No,,159051,20,Male,Yes,No,Job,Medium,1999
754,No,457590.0,70128,10,Female,No,No,Job,Medium,1974
755,Yes,3979428.0,1629548,20,Female,No,No,Business,Medium,1982
756,No,673997.0,107354,15,Female,Yes,No,Business,Low,1981
757,Yes,627725.0,152496,5,,Yes,Yes,Job,High,1998
758,Yes,471246.0,115482,5,,No,No,Job,High,1972
759,No,705046.0,112045,15,,No,Yes,Business,Medium,1987
760,Yes,513654.0,117181,15,Female,No,No,Business,High,1978
761,Yes,,133530,15,Male,Yes,No,Business,Medium,1972
762,Yes,,144157,10,Female,No,Yes,Job,Medium,1990
763,Yes,585591.0,78941,10,Male,Yes,No,Job,High,1986
764,Yes,772390.0,130329,5,Female,Yes,No,Job,High,1985
765,No,494523.0,107411,15,Male,Yes,Yes,Business,Medium,1990
766,No,594751.0,145134,5,Male,No,No,Job,Medium,1981
767,Yes,865620.0,185707,10,Female,No,Yes,Business,Medium,1995
768,Yes,505954.0,115499,15,Male,No,Yes,Job,High,1989
769,No,871867.0,166055,20,Female,Yes,Yes,Job,High,1970
770,Yes,706162.0,159106,10,Male,No,Yes,Business,High,1992
771,Yes,515629.0,112233,10,Male,Yes,No,Job,High,1980
772,No,694861.0,108778,15,Female,Yes,No,Business,Low,1970
773,Yes,745883.0,136346,15,Female,Yes,No,Business,High,1975
774,No,693271.0,153013,10,,Yes,Yes,Job,Medium,1989
775,No,,38964,20,Male,Yes,No,Job,Low,1996
776,Yes,490929.0,108599,20,Female,Yes,No,Job,High,1992
777,Yes,562872.0,71306,10,Male,No,No,Job,Medium,1988
778,No,588834.0,104342,10,Female,Yes,No,Job,Low,1981
779,No,693100.0,153342,15,Female,No,Yes,Business,Low,1996
780,No,626655.0,86524,15,Female,Yes,Yes,Business,Medium,1987
781,Yes,399698.0,54707,5,Female,No,No,Job,Medium,1995
782,No,657029.0,105397,15,Female,No,Yes,Business,Low,1990
783,Yes,691587.0,161967,15,,No,No,Job,Medium,1970
784,No,683968.0,68442,10,,No,No,Business,Low,1983
785,Yes,762117.0,179255,15,,Yes,No,Job,Medium,1992
786,No,725088.0,89237,20,,Yes,Yes,Job,Medium,1998
787,No,668877.0,166224,5,Female,Yes,No,Business,Low,1974
788,Yes,589475.0,143376,10,,Yes,Yes,Business,Low,1979
789,Yes,,61119,10,Female,No,Yes,Job,Medium,1983
790,No,664442.0,117545,20,,No,No,Business,High,1986
791,Yes,631153.0,108704,25,Male,No,Yes,Business,Medium,1997
792,Yes,3203680.0,1877193,10,,Yes,Yes,Job,Medium,1982
793,No,408487.0,46407,15,Male,No,No,Business,Medium,1996
794,No,437841.0,45926,15,,Yes,Yes,Job,Low,1992
795,Yes,757972.0,82357,15,Female,No,Yes,Job,Low,1982
796,No,594066.0,99003,10,Male,No,No,Business,Medium,1994
797,Yes,,99246,10,,No,No,Job,High,1988
798,No,604247.0,116804,10,Male,No,Yes,Job,Medium,1991
799,No,604463.0,150430,15,,No,No,Business,Medium,1982
800,Yes,740742.0,116999,5,Female,Yes,No,Job,Medium,1998
801,No,,97242,20,,No,Yes,Business,Medium,1983
802,No,614418.0,99744,5,Male,Yes,Yes,Business,Medium,1989
803,Yes,530658.0,120507,10,Female,Yes,No,Business,High,1980
804,No,,125863,15,Male,Yes,Yes,Business,High,1986
805,No,553624.0,128221,15,Male,Yes,No,Business,Medium,1984
806,Yes,633320.0,155895,5,Male,Yes,No,Job,High,1976
807,Yes,,54998,10,,Yes,Yes,Job,Medium,1977
808,Yes,788363.0,178148,25,Female,Yes,Yes,Job,Medium,1990
809,No,465808.0,99108,10,Female,Yes,No,Job,Medium,1985
810,Yes,571969.0,76817,10,,No,No,Job,High,1989
811,No,534040.0,130010,20,,No,No,Job,Low,1995
812,Yes,,99864,5,,Yes,No,Job,Medium,1985
813,No,1888449.0,762678,10,Male,Yes,Yes,Business,Medium,1999
814,No,,100938,10,Male,Yes,No,Job,Medium,1987
815,No,377165.0,62121,10,,No,Yes,Business,High,1985
816,Yes,640057.0,133051,10,Male,No,Yes,Business,Medium,1990
817,Yes,733444.0,135319,5,Male,Yes,No,Job,Low,1970
818,No,612342.0,100500,10,Male,Yes,Yes,Business,Medium,1994
819,No,759822.0,113176,5,Male,No,Yes,Business,Low,1998
820,Yes,522406.0,118037,15,Male,No,No,Job,Medium,1990
821,Yes,3245608.0,1183725,10,Male,Yes,Yes,Job,High,1971
822,Yes,944834.0,155439,10,Female,Yes,Yes,Job,High,1990
823,No,545574.0,128517,20,Female,Yes,No,Job,Medium,1999
824,No,533174.0,120965,15,,Yes,No,Business,Medium,1996
825,Yes,818007.0,130996,5,Male,No,No,Business,High,1993
826,No,836935.0,179494,20,Male,No,No,Job,Low,1986
827,Yes,521570.0,116557,10,Female,Yes,No,Business,Medium,1991
828,Yes,536971.0,125293,5,,Yes,No,Job,Medium,1978
829,No,557732.0,101326,15,Female,Yes,No,Business,Low,1979
830,Yes,398332.0,52049,15,Male,No,Yes,Job,Low,1995
831,Yes,462202.0,63920,10,Female,Yes,Yes,Job,Medium,1971
832,Yes,449378.0,64869,10,Female,Yes,No,Job,Low,1971
833,Yes,484830.0,91666,15,Female,Yes,Yes,Job,Low,1982
834,Yes,594797.0,62406,10,Male,No,Yes,Job,Medium,1971
835,Yes,,124108,20,Female,Yes,No,Business,High,1970
836,Yes,832575.0,128760,10,,No,Yes,Business,High,1973
837,Yes,450246.0,64964,20,,Yes,No,Business,Medium,1990
838,No,747648.0,173397,15,Male,Yes,Yes,Job,Medium,1975
839,Yes,567901.0,95975,20,,Yes,No,Business,Low,1989
840,Yes,,1015602,15,Male,No,Yes,Job,Medium,1988
841,Yes,701222.0,157082,15,,Yes,Yes,Business,Medium,1983
842,No,431591.0,46243,10,Male,Yes,Yes,Job,Low,1980
843,No,657361.0,137396,10,,No,No,Job,Low,1976
844,No,624967.0,135046,10,Female,No,Yes,Business,Medium,1984
845,Yes,673867.0,103027,20,,No,Yes,Business,High,1997
846,No,643375.0,143934,20,Male,Yes,No,Business,Medium,1986
847,Yes,968295.0,171726,10,Male,No,No,Job,Medium,1974
848,Yes,504339.0,85482,5,,Yes,Yes,Job,Medium,1981
849,No,520350.0,55578,10,Male,No,Yes,Business,Medium,1971
850,No,506528.0,72688,15,Female,No,Yes,Job,Low,1993
851,No,516678.0,123822,10,Male,No,Yes,Business,Medium,1981
852,Yes,504391.0,80083,15,Female,Yes,No,Job,Medium,1998
853,No,778352.0,141664,25,Male,Yes,Yes,Job,High,1990
854,No,813075.0,146193,5,Female,Yes,Yes,Job,Medium,1992
855,Yes,514388.0,96995,10,Male,Yes,No,Business,High,1996
856,Yes,475146.0,51885,10,,Yes,Yes,Job,Low,1984
857,Yes,670712.0,103508,10,Male,Yes,Yes,Job,High,1970
858,No,517166.0,107813,5,Female,Yes,Yes,Business,Medium,1977
859,Yes,694939.0,90400,5,Male,Yes,No,Business,High,1973
860,Yes,630438.0,82295,20,,Yes,No,Job,High,1976
